method,split,record_type,seed,dataset_id,N_total,N_valid,MeanOverOz,delta_vs_NVP,policy45_regret_bytes,oracle_recovery,top1_oracle_hit,top5_oracle_hit,median_dataset_delta_vs_NVP,positive_dataset_count,negative_dataset_count,leave_LLVM_Stress_out_macro_delta_vs_NVP,source_artifact_path
MLP,final/OOD,dataset_3seed,,llvm-stress-v0,150,147,-0.031669469716052445,0.01319674853455937,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,mibench-v1,40,40,0.06303774521782744,-0.00043622400742429623,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,npb-v0,121,121,0.22375912210870916,0.0034057591623958827,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,opencv-v0,32,32,0.034034049341130544,-0.007017688038598147,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,poj104-v1,1000,1000,0.1864519006509998,-0.0004070905405705594,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,tensorflow-v0,90,90,0.049544551127610637,-0.005608491875243225,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
LSTM,final/OOD,dataset_macro_3seed,,,4683,4679,0.08445278226557085,-0.0027019098042543738,,0.802900204646317,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
LSTM,final/OOD,dataset_macro_seed,1,,4683,4679,0.08411411747955184,-0.0036977178885194834,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
LSTM,final/OOD,dataset_macro_seed,2,,4683,4679,0.08420478577971216,-0.003322173503599632,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
LSTM,final/OOD,dataset_macro_seed,3,,4683,4679,0.0850394435374485,-0.0010858380206440477,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
LSTM,final/OOD,dataset_3seed,,anghabench-v1,1000,999,0.03480181830369904,-0.002122226975450045,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
LSTM,final/OOD,dataset_3seed,,blas-v0,29,29,0.007491360507953408,-0.0038557104446625976,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
LSTM,final/OOD,dataset_3seed,,cbench-v1,11,11,0.189530459851205,0.0015409442447676114,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
LSTM,final/OOD,dataset_3seed,,chstone-v0,12,12,0.09232989387641387,0.00018993552660251378,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
LSTM,final/OOD,dataset_3seed,,clgen-v0,150,150,0.1016847719320861,0.0005884595432452677,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
