replicate,pa_dataset_macro_mean_over_oz,nvp_dataset_macro_mean_over_oz,paired_dataset_macro_delta
271,0.08574667110986578,0.08469702074193562,0.0010496503679301578
272,0.08845124980433626,0.08556374043781281,0.002887509366523447
273,0.0888463863161749,0.08775325946637262,0.001093126849802284
274,0.08946639308137998,0.08718295552426575,0.002283437557114229
275,0.0900743614291737,0.08538621711305332,0.004688144316120385
276,0.09065576772768241,0.09019335650634472,0.0004624112213376941
277,0.08698695316912967,0.08281409081664139,0.004172862352488288
278,0.08726976211504107,0.08481931905625134,0.0024504430587897336
279,0.08819485548663132,0.0855039136954945,0.002690941791136825
280,0.09460120592996152,0.09286647660917802,0.0017347293207835013
281,0.08803010719270561,0.0853170731707502,0.0027130340219554128
282,0.08746156161503295,0.08857479190070684,-0.001113230285673894
283,0.0890948662441367,0.08705693075255744,0.002037935491579268
284,0.08937230561622696,0.08725103956831809,0.002121266047908868
285,0.08712424715323873,0.082795370960725,0.004328876192513723
286,0.089684505275029,0.08978010574877558,-9.560047374658487e-05
287,0.09110397556445955,0.08678646382229438,0.004317511742165173
288,0.0873939465863224,0.08630106053002577,0.0010928860562966214
289,0.0913829344641154,0.08848594131627899,0.0028969931478364103
290,0.09051853226124644,0.08750504878464388,0.0030134834766025603
291,0.08711257895027022,0.08575721910953649,0.001355359840733733
292,0.08375301741699162,0.08278889830902673,0.0009641191079648864
293,0.08535362954511937,0.08553512196715914,-0.00018149242203976956
294,0.08267699811466424,0.0809382068051839,0.0017387913094803337
295,0.09028551983921186,0.08927057229714411,0.001014947542067754
296,0.09462487466662606,0.09278542755411055,0.0018394471125155049
297,0.10020642452918374,0.09536937695193272,0.004837047577251022
298,0.09546878302266318,0.09371279849229734,0.0017559845303658367
299,0.0889775969308472,0.08862962806379844,0.0003479688670487563
300,0.09510669917854547,0.09226509218127882,0.0028416069972666547
301,0.0868843991605865,0.08743507803076742,-0.0005506788701809123
302,0.08987449820948314,0.08621661589038106,0.0036578823191020793
303,0.08239515298985789,0.0806055141912067,0.001789638798651183
304,0.08161829222985131,0.07997180396174954,0.0016464882681017784
305,0.08930240567783201,0.08492682498499068,0.00437558069284133
306,0.09220157761529797,0.08908629948851819,0.0031152781267797802
307,0.08809264823783904,0.08434782168364194,0.0037448265541970976
308,0.08941826608875195,0.08835162597325241,0.0010666401154995342
309,0.08889774459754012,0.08626581109533903,0.0026319335022010892
310,0.08546712585731908,0.08919960899316097,-0.003732483135841888
311,0.10016150461225751,0.0971833821697378,0.002978122442519701
312,0.09595776404307178,0.09533239290986183,0.0006253711332099565
313,0.0903220760729003,0.08876003289370597,0.0015620431791943251
314,0.08833634844494452,0.08492693338528061,0.0034094150596639117
315,0.09933289979046359,0.09513502461940876,0.004197875171054827
316,0.08861523747420395,0.09031141697204588,-0.0016961794978419265
317,0.0818187027127767,0.08290537619851118,-0.0010866734857344768
318,0.08892661989473237,0.08433626823456457,0.004590351660167802
319,0.08096819406029426,0.0805175921908966,0.0004506018693976599
320,0.08493598299889243,0.07794171795456782,0.006994265044324613
321,0.09000802386346651,0.08665646156291869,0.003351562300547825
322,0.08435635283996211,0.0825021788818726,0.0018541739580895111
323,0.09064778918064886,0.09092794555614114,-0.0002801563754922798
324,0.10356809452062889,0.09893573181194992,0.004632362708678964
325,0.08428275320970842,0.08249925200298919,0.0017835012067192318
326,0.09049045833262513,0.08720749535948336,0.003282962973141776
327,0.07386627574438288,0.07684701961127774,-0.0029807438668948555
328,0.0928037335234214,0.08893812964298797,0.0038656038804334297
329,0.0825179437060734,0.0815679844572731,0.0009499592488003
330,0.09367219535577612,0.0910613301182644,0.0026108652375117225
331,0.09404834565377208,0.08925277536212955,0.004795570291642529
332,0.08544464770447914,0.08183514653866618,0.0036095011658129617
333,0.09658408238297865,0.09331014421854052,0.003273938164438134
334,0.09042247776550968,0.08405096783068312,0.006371509934826561
335,0.09798942969990775,0.09428284523401143,0.0037065844658963204
336,0.08900593934564953,0.08744649998589274,0.0015594393597567896
337,0.08981717320615021,0.08689359009765701,0.002923583108493194
338,0.08093839550091698,0.07901512151949099,0.0019232739814259991
339,0.08780596410757908,0.08767160094022958,0.0001343631673495077
340,0.09310775524818617,0.08867058716046813,0.0044371680877180325
341,0.09026013257676964,0.08523862459367752,0.005021507983092116
342,0.09682890348681768,0.09597831738181156,0.0008505861050061153
343,0.08408914119089092,0.08245456795985635,0.0016345732310345668
344,0.08529517735414602,0.08897557954314503,-0.00368040218899901
345,0.08856418424979375,0.08801989822055642,0.0005442860292373258
346,0.09244795503657949,0.08901914971440923,0.003428805322170256
347,0.09017046054625319,0.08790293500522249,0.002267525541030699
348,0.09308121119395583,0.08887957367792348,0.00420163751603235
349,0.09153383243163062,0.08827744501762308,0.003256387414007536
350,0.08888220095193056,0.08489259693748641,0.003989604014444148
351,0.09237531797070961,0.08891704840864528,0.0034582695620643256
352,0.08537303044116086,0.08679640336580743,-0.0014233729246465737
353,0.08733703858875876,0.08305787110109834,0.0042791674876604124
354,0.09148237376986251,0.08932694741502961,0.002155426354832901
355,0.09114093851827687,0.08642719295665613,0.004713745561620741
356,0.09048914100744965,0.08861362963352006,0.001875511373929592
357,0.0926840840196421,0.08819028675010045,0.004493797269541647
358,0.09613806056617909,0.09460426308277026,0.0015337974834088303
359,0.08600293136096666,0.08489661518831974,0.0011063161726469206
360,0.09549805891766966,0.09217022560774372,0.0033278333099259344
